"Method","Bias","MAD","MSE","MAPE","RSFE","Tracking_Signal"
"Naïve",0.0266658375383158,10.2515581708526,234.495951309067,16.2472805452138,6.37313517165748,0.621674780110764
"Moving Average",0.0876875221406339,12.4823658769894,266.638448205306,19.8069218131248,21.0450053137521,1.68597888582544
"Weighted MA",NA,NA,NA,NA,NA,NA
"Exponential Smoothing",0.0462571293515739,10.8618286019865,222.266830824434,17.1517081309834,11.1017110443777,1.02208490404161
"Trend-Adjusted (Holt)",0.00112282540539281,10.8596487052898,222.301009590685,17.164023831069,0.269478097294273,0.0248146238066622
"Linear Trend",0,15.3928915820149,379.340705945569,29.8753361140588,0,0
"Holt-Winters",-0.0810223027709115,10.9705112841714,215.991447917608,17.3579276761873,-19.4453526650188,-1.77251106728956
